Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name
2024-03-11 00:00:00-04:00,83.30421986585114,84.1732495474516,82.68078082901523,84.14491271972656,12491900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-12 00:00:00-04:00,84.13546775113979,84.37161759968421,83.56870955597745,84.0126724243164,11890300,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-13 00:00:00-04:00,84.89115220975003,85.81685560274995,84.74946085583979,85.35400390625,21362600,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-14 00:00:00-04:00,85.6940691045794,86.27027538493573,85.36346071586406,86.23249053955078,17973000,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-15 00:00:00-04:00,86.16635037437044,87.11094968615836,85.96798538370147,86.48751068115234,18876700,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-18 00:00:00-04:00,86.8341364713763,87.09123620515365,86.1104372998758,86.7865219116211,15248400,0.734,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-19 00:00:00-04:00,86.77700017391963,87.84350386605372,86.71986851245315,87.77684783935547,14272900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-20 00:00:00-04:00,87.2721662150871,87.96729231884503,87.13885416053182,87.65306091308594,16329700,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-21 00:00:00-04:00,87.805410385121,88.35770730850805,87.52926192342746,88.1767807006836,11667100,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-22 00:00:00-04:00,88.21486965345566,88.43388645273708,87.7673189551131,87.98633575439453,8974400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-25 00:00:00-04:00,88.29105296594886,89.39563956879987,88.27200423583517,88.80525970458984,17537200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-26 00:00:00-04:00,88.89095827932088,89.09092635818196,87.94824954612953,88.1196517944336,17686900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-27 00:00:00-04:00,87.92919614441833,88.95760957960678,87.77684263455427,88.93856811523438,16980000,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-28 00:00:00-04:00,89.46228838268732,90.062199828557,89.03378643417581,89.90032196044922,17307600,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-01 00:00:00-04:00,90.1669583560204,90.83351864806973,89.28138124517642,90.56689453125,21449500,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-02 00:00:00-04:00,90.957306383417,91.92858825509992,90.55737020800042,91.83336639404297,19335600,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-03 00:00:00-04:00,92.17616457560742,92.58562508849865,91.87145028217408,92.46183013916016,14574400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-04 00:00:00-04:00,92.60466166693935,92.93794177264556,92.04284766945766,92.40469360351562,18470600,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-05 00:00:00-04:00,92.78559095885699,93.76638984052194,92.2237696801112,93.39501953125,15597300,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-08 00:00:00-04:00,93.44263618914236,93.7092675731259,92.64276383207887,92.80464172363281,17017300,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-09 00:00:00-04:00,93.20458417764517,93.45216684696133,92.15712909740996,92.83321380615234,17661400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-10 00:00:00-04:00,92.57610103217381,93.46167808556693,92.17616488288965,93.1188735961914,19599800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-11 00:00:00-04:00,93.41406918183374,93.45215937906646,91.73813682840583,93.0522232055664,19602300,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-12 00:00:00-04:00,93.64259644038951,94.24250792293606,91.10013589186507,91.53816223144531,23286200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-15 00:00:00-04:00,91.97619028629362,92.41422389900454,90.5668893874423,90.68115997314453,24345400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-16 00:00:00-04:00,90.50975340539071,90.9287310030363,89.25280608253082,89.89080047607422,18248800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-17 00:00:00-04:00,89.70035353499378,90.59545495802489,88.99570308758732,89.63369750976562,13710500,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-18 00:00:00-04:00,89.93841435313068,90.19552136126553,89.04332016970969,89.35755157470703,12777800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-19 00:00:00-04:00,89.52895268901614,91.04300709281321,89.39564063647576,90.43357849121094,17725700,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-22 00:00:00-04:00,89.95746744268769,91.64291693284201,89.24329257542591,91.02396392822266,15122200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-23 00:00:00-04:00,90.60498110516282,91.52864837646484,90.16695475005339,91.52864837646484,14328700,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-24 00:00:00-04:00,90.95729710665736,91.70004498305808,90.51927077849997,91.59529876708984,10651900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
